,mse,vies,variancia
100,20.481975806194914,2.8580884215286804,17.623887384666236
105,39.86317206489393,3.2532941188585247,36.60987794603541
112,34.98469625119714,2.2069937237964963,32.77770252740063
119,8.502690371273607,2.5385796617795866,5.96411070949402
126,9.41832876583992,3.9493053113661394,5.469023454473781
133,2.921854469359794,0.6690073888852184,2.252847080474576
141,3.747083589295684,0.6790092263406193,3.0680743629550644
150,4.023295579168497,0.7387231438965032,3.2845724352719934
159,2.146324464835491,0.3395941173144642,1.8067303475210268
168,2.7996673742577154,0.508240038194813,2.2914273360629016
178,2.938499695574557,0.7659835184015835,2.172516177172973
189,4.344984140357769,1.1806857265080895,3.164298413849679
200,18.961966399801952,1.894031197607905,17.067935202194047
212,26.546479717619523,1.7865889264044263,24.759890791215096
225,21.44775842496444,2.542417495335991,18.905340929628448
239,16.82675516267938,0.3573549744661292,16.46940018821325
253,17.465139329943298,0.18931816025733647,17.275821169685962
268,80.57642231104975,11.544657932995719,69.03176437805405
284,68.04269905371834,9.39434220408739,58.648356849630936
301,36.5303098973234,2.2623505503379406,34.26795934698547
319,33.45342882282545,1.9656751295006034,31.487753693324837
339,19.52589315709521,0.8843080371938697,18.641585119901343
359,46.461154575444525,2.480026874914095,43.98112770053043
380,51.37062659538779,2.3521088730397097,49.018517722348086
403,52.028088697324705,2.068864886227033,49.959223811097665
427,50.42258858767511,2.098082440441685,48.32450614723343
453,49.931003707537485,2.073115836820745,47.85788787071674
480,55.197777840101914,2.165015759082067,53.03276208101986
509,40.90598388552672,1.6230719570072765,39.28291192851944
539,13.397835633813884,0.4267063209500634,12.971129312863825
572,15.052218701059775,0.3681866162645244,14.684032084795248
606,14.990993853911759,0.36819195775397784,14.622801896157783
642,9.491038961772993,0.2555299195561221,9.235509042216872
681,13.822975227236167,0.4823336197995378,13.340641607436627
722,8.460323823506403,0.253074667488276,8.207249156018126
765,7.677948320668963,0.11600897699616201,7.561939343672801
811,11.857865264093068,0.22740718932792264,11.63045807476515
859,0.2832686246021649,0.090147839694383,0.19312078490778184
911,0.20744670059372491,0.09217225946929228,0.11527444112443262
965,0.2721966427000734,0.09619041935224719,0.17600622334782615
1023,0.2524337168278009,0.09082950792078351,0.1616042089070174
1084,0.2127026996550433,0.08738333149828237,0.12531936815676087
1149,0.21871319733164793,0.0908757149048564,0.12783748242679158
1218,0.1833337112777248,0.07642151543625082,0.10691219584147398
1291,0.23543549897307062,0.08722997767908282,0.1482055212939878
1368,0.21558397638821275,0.08020580103429169,0.1353781753539211
1450,0.17689163152986445,0.0777498428211225,0.09914178870874195
1537,0.10573255046476156,0.034189976385546446,0.07154257407921509
1629,0.05088972703300658,0.00703932592826971,0.04385040110473687
1727,0.05798838722656816,0.007791909815180744,0.05019647741138743
1830,0.050919127806171194,0.007945507232916663,0.04297362057325453
